sourcetype,kind,cim_field,fdr_field,events,detail
crowdstrike:events:sensor,LOOKUP,ExclusionType_meaning,ExclusionType,,LOOKUP-crowdstrike_ta_ExclusionType via crowdstrike_ta_lookup_ExclusionType (ExclusionType_meaning)
crowdstrike:events:sensor,LOOKUP,ExecutionPivot_meaning,ExecutionPivot,,LOOKUP-crowdstrike_ta_ExecutionPivot via crowdstrike_ta_lookup_ExecutionPivot (ExecutionPivot_meaning)
crowdstrike:events:sensor,LOOKUP,FalconServiceComponent_meaning,FalconServiceComponent,,LOOKUP-crowdstrike_ta_FalconServiceComponent via crowdstrike_ta_lookup_FalconServiceComponent (FalconServiceComponent_meaning)
crowdstrike:events:sensor,LOOKUP,FalconServiceState_meaning,FalconServiceState,,LOOKUP-crowdstrike_ta_FalconServiceState via crowdstrike_ta_lookup_FalconServiceState (FalconServiceState_meaning)
crowdstrike:events:sensor,LOOKUP,FfcServiceFlags_meaning,FfcServiceFlags,,LOOKUP-crowdstrike_ta_FfcServiceFlags via crowdstrike_ta_bitmask_lookup_FfcServiceFlags (result)
crowdstrike:events:sensor,LOOKUP,FileAttributes_meaning,FileAttributes,,LOOKUP-crowdstrike_ta_FileAttributes via crowdstrike_ta_bitmask_lookup_FileAttributes (result)
crowdstrike:events:sensor,LOOKUP,FileEcpBitmask_meaning,FileEcpBitmask,,LOOKUP-crowdstrike_ta_FileEcpBitmask via crowdstrike_ta_bitmask_lookup_FileEcpBitmask (result)
crowdstrike:events:sensor,LOOKUP,FileEventType_meaning,FileEventType,,LOOKUP-crowdstrike_ta_FileEventType via crowdstrike_ta_lookup_FileEventType (FileEventType_meaning)
crowdstrike:events:sensor,LOOKUP,FileKnownStatus_meaning,FileKnownStatus,,LOOKUP-crowdstrike_ta_FileKnownStatus via crowdstrike_ta_lookup_FileKnownStatus (FileKnownStatus_meaning)
crowdstrike:events:sensor,LOOKUP,FileSubType_meaning,FileSubType,,LOOKUP-crowdstrike_ta_FileSubType via crowdstrike_ta_lookup_FileSubType (FileSubType_meaning)
crowdstrike:events:sensor,LOOKUP,FileSystemOperationType_meaning,FileSystemOperationType,,LOOKUP-crowdstrike_ta_FileSystemOperationType via crowdstrike_ta_lookup_FileSystemOperationType (FileSystemOperationType_meaning)
crowdstrike:events:sensor,LOOKUP,FileWrittenFlags_meaning,FileWrittenFlags,,LOOKUP-crowdstrike_ta_FileWrittenFlags via crowdstrike_ta_lookup_FileWrittenFlags (FileWrittenFlags_meaning)
crowdstrike:events:sensor,LOOKUP,FirewallAction_meaning,FirewallAction,,LOOKUP-crowdstrike_ta_FirewallAction via crowdstrike_ta_lookup_FirewallAction (FirewallAction_meaning)
crowdstrike:events:sensor,LOOKUP,FirewallProfile_meaning,FirewallProfile,,LOOKUP-crowdstrike_ta_FirewallProfile via crowdstrike_ta_lookup_FirewallProfile (FirewallProfile_meaning)
crowdstrike:events:sensor,LOOKUP,FirmwareAnalysisErrorSource_meaning,FirmwareAnalysisErrorSource,,LOOKUP-crowdstrike_ta_FirmwareAnalysisErrorSource via crowdstrike_ta_lookup_FirmwareAnalysisErrorSource (FirmwareAnalysisErrorSource_meaning)
crowdstrike:events:sensor,LOOKUP,FirmwareType_meaning,FirmwareType,,LOOKUP-crowdstrike_ta_FirmwareType via crowdstrike_ta_lookup_FirmwareType (FirmwareType_meaning)
crowdstrike:events:sensor,LOOKUP,FontLoadOperation_meaning,FontLoadOperation,,LOOKUP-crowdstrike_ta_FontLoadOperation via crowdstrike_ta_lookup_FontLoadOperation (FontLoadOperation_meaning)
crowdstrike:events:sensor,LOOKUP,FsOperationClassificationFlags_meaning,FsOperationClassificationFlags,,LOOKUP-crowdstrike_ta_FsOperationClassificationFlags via crowdstrike_ta_bitmask_lookup_FsOperationClassificationFlags (result)
crowdstrike:events:sensor,LOOKUP,FsOperationClassification_meaning,FsOperationClassification,,LOOKUP-crowdstrike_ta_FsOperationClassification via crowdstrike_ta_lookup_FsOperationClassification (FsOperationClassification_meaning)
crowdstrike:events:sensor,LOOKUP,HIDDescriptorCountryCode_meaning,HIDDescriptorCountryCode,,LOOKUP-crowdstrike_ta_HIDDescriptorCountryCode via crowdstrike_ta_lookup_HIDDescriptorCountryCode (HIDDescriptorCountryCode_meaning)
crowdstrike:events:sensor,LOOKUP,HarmfulAppCategory_meaning,HarmfulAppCategory,,LOOKUP-crowdstrike_ta_HarmfulAppCategory via crowdstrike_ta_lookup_HarmfulAppCategory (HarmfulAppCategory_meaning)
crowdstrike:events:sensor,LOOKUP,HookId_meaning,HookId,,LOOKUP-crowdstrike_ta_HookId via crowdstrike_ta_lookup_HookId (HookId_meaning)
crowdstrike:events:sensor,LOOKUP,HookedObjectType_meaning,HookedObjectType,,LOOKUP-crowdstrike_ta_HookedObjectType via crowdstrike_ta_lookup_HookedObjectType (HookedObjectType_meaning)
crowdstrike:events:sensor,LOOKUP,HookedPointerType_meaning,HookedPointerType,,LOOKUP-crowdstrike_ta_HookedPointerType via crowdstrike_ta_lookup_HookedPointerType (HookedPointerType_meaning)
crowdstrike:events:sensor,LOOKUP,HostProcessType_meaning,HostProcessType,,LOOKUP-crowdstrike_ta_HostProcessType via crowdstrike_ta_lookup_HostProcessType (HostProcessType_meaning)
crowdstrike:events:sensor,LOOKUP,HttpInternalSource_meaning,HttpInternalSource,,LOOKUP-crowdstrike_ta_HttpInternalSource via crowdstrike_ta_lookup_HttpInternalSource (HttpInternalSource_meaning)
crowdstrike:events:sensor,LOOKUP,HttpMethod_meaning,HttpMethod,,LOOKUP-crowdstrike_ta_HttpMethod via crowdstrike_ta_lookup_HttpMethod (HttpMethod_meaning)
crowdstrike:events:sensor,LOOKUP,HttpVisibilityState_meaning,HttpVisibilityState,,LOOKUP-crowdstrike_ta_HttpVisibilityState via crowdstrike_ta_lookup_HttpVisibilityState (HttpVisibilityState_meaning)
crowdstrike:events:sensor,LOOKUP,HttpVisibilityStatusReason_meaning,HttpVisibilityStatusReason,,LOOKUP-crowdstrike_ta_HttpVisibilityStatusReason via crowdstrike_ta_lookup_HttpVisibilityStatusReason (HttpVisibilityStatusReason_meaning)
crowdstrike:events:sensor,LOOKUP,ImageSubsystem_meaning,ImageSubsystem,,LOOKUP-crowdstrike_ta_ImageSubsystem via crowdstrike_ta_lookup_ImageSubsystem (ImageSubsystem_meaning)
crowdstrike:events:sensor,LOOKUP,ImpersonationLevel_meaning,ImpersonationLevel,,LOOKUP-crowdstrike_ta_ImpersonationLevel via crowdstrike_ta_lookup_ImpersonationLevel (ImpersonationLevel_meaning)
crowdstrike:events:sensor,LOOKUP,InjectedThreadFlag_meaning,InjectedThreadFlag,,LOOKUP-crowdstrike_ta_InjectedThreadFlag via crowdstrike_ta_lookup_InjectedThreadFlag (InjectedThreadFlag_meaning)
crowdstrike:events:sensor,LOOKUP,InstanceMetadataProvider_meaning,InstanceMetadataProvider,,LOOKUP-crowdstrike_ta_InstanceMetadataProvider via crowdstrike_ta_lookup_InstanceMetadataProvider (InstanceMetadataProvider_meaning)
crowdstrike:events:sensor,LOOKUP,IntegrityLevel_meaning,IntegrityLevel,,LOOKUP-crowdstrike_ta_IntegrityLevel via crowdstrike_ta_lookup_IntegrityLevel (IntegrityLevel_meaning)
crowdstrike:events:sensor,LOOKUP,InterfaceGuid_meaning,InterfaceGuid,,LOOKUP-crowdstrike_ta_InterfaceGuid via crowdstrike_ta_lookup_InterfaceGuid (InterfaceGuid_meaning)
crowdstrike:events:sensor,LOOKUP,IoControlCode_meaning,IoControlCode,,LOOKUP-crowdstrike_ta_IoControlCode via crowdstrike_ta_lookup_IoControlCode (IoControlCode_meaning)
crowdstrike:events:sensor,LOOKUP,KerberosAnomaly_meaning,KerberosAnomaly,,LOOKUP-crowdstrike_ta_KerberosAnomaly via crowdstrike_ta_bitmask_lookup_KerberosAnomaly (result)
crowdstrike:events:sensor,LOOKUP,LdapSearchQueryClassification_meaning,LdapSearchQueryClassification,,LOOKUP-crowdstrike_ta_LdapSearchQueryClassification via crowdstrike_ta_bitmask_lookup_LdapSearchQueryClassification (result)
crowdstrike:events:sensor,LOOKUP,LfoUploadCloudStatus_meaning,LfoUploadCloudStatus,,LOOKUP-crowdstrike_ta_LfoUploadCloudStatus via crowdstrike_ta_lookup_LfoUploadCloudStatus (LfoUploadCloudStatus_meaning)
crowdstrike:events:sensor,LOOKUP,LfoUploadExtendedStatus_meaning,LfoUploadExtendedStatus,,LOOKUP-crowdstrike_ta_LfoUploadExtendedStatus via crowdstrike_ta_lookup_LfoUploadExtendedStatus (LfoUploadExtendedStatus_meaning)
crowdstrike:events:sensor,LOOKUP,LfoUploadFlags_meaning,LfoUploadFlags,,LOOKUP-crowdstrike_ta_LfoUploadFlags via crowdstrike_ta_bitmask_lookup_LfoUploadFlags (result)
crowdstrike:events:sensor,LOOKUP,LightningLatencyState_meaning,LightningLatencyState,,LOOKUP-crowdstrike_ta_LightningLatencyState via crowdstrike_ta_lookup_LightningLatencyState (LightningLatencyState_meaning)
crowdstrike:events:sensor,LOOKUP,LinkedAuthenticationId_meaning,LinkedAuthenticationId,,LOOKUP-crowdstrike_ta_LinkedAuthenticationId via crowdstrike_ta_lookup_LinkedAuthenticationId (LinkedAuthenticationId_meaning)
crowdstrike:events:sensor,LOOKUP,LocationStatus_meaning,LocationStatus,,LOOKUP-crowdstrike_ta_LocationStatus via crowdstrike_ta_lookup_LocationStatus (LocationStatus_meaning)
crowdstrike:events:sensor,LOOKUP,LogonType_meaning,LogonType,,LOOKUP-crowdstrike_ta_LogonType via crowdstrike_ta_lookup_LogonType (LogonType_meaning)
crowdstrike:events:sensor,LOOKUP,MachOSubType_meaning,MachOSubType,,LOOKUP-crowdstrike_ta_MachOSubType via crowdstrike_ta_lookup_MachOSubType (MachOSubType_meaning)
crowdstrike:events:sensor,LOOKUP,Malicious_meaning,Malicious,,LOOKUP-crowdstrike_ta_Malicious via crowdstrike_ta_lookup_Malicious (Malicious_meaning)
crowdstrike:events:sensor,LOOKUP,MeasurementType_meaning,MeasurementType,,LOOKUP-crowdstrike_ta_MeasurementType via crowdstrike_ta_lookup_MeasurementType (MeasurementType_meaning)
crowdstrike:events:sensor,LOOKUP,MemoryDescriptionFlags_meaning,MemoryDescriptionFlags,,LOOKUP-crowdstrike_ta_MemoryDescriptionFlags via crowdstrike_ta_lookup_MemoryDescriptionFlags (MemoryDescriptionFlags_meaning)
crowdstrike:events:sensor,LOOKUP,MemoryRegionProtection_meaning,MemoryRegionProtection,,LOOKUP-crowdstrike_ta_MemoryRegionProtection via crowdstrike_ta_lookup_MemoryRegionProtection (MemoryRegionProtection_meaning)
crowdstrike:events:sensor,LOOKUP,ModifiedRegisters_meaning,ModifiedRegisters,,LOOKUP-crowdstrike_ta_ModifiedRegisters via crowdstrike_ta_bitmask_lookup_ModifiedRegisters (result)
